company,quarter,Event ID,market,date,type,l,r,w,c,sector,date_ticker,total debt,equity,DERatio,ebitda,ebit,eps,NI,Asset,ROA,MV,BV,PB,shares,total debt_diff,equity_diff,DERatio_diff,ebitda_diff,ebit_diff,eps_diff,NI_diff,Asset_diff,ROA_diff,MV_diff,BV_diff,PB_diff,shares_diff
ARCC,10/1/20,36,NYK,11/17/20,fraud,-2,2,-4,6,asset management,12/31/20,9.02,7.18,1.26,327,318,0.87,0.48,16.2,0.0315,16.53,16.96,0.97,424,1.03,0.22,0.11,72,71,-0.17,0.17,1.25,0.0109,3.2,0.5,0.16,1
ARCC,4/1/21,30,NYK,4/14/21,fraud,-2,2,-4,6,asset management,,,,,,,,,,,,,,,,,,,,,,,,,,,
AXP,1/1/21,42,NYK,3/22/21,fraud,-2,2,-4,6,banking,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAC,1/1/13,55,NYK,1/31/13,fraud,-2,2,-4,6,banking,3/31/13,1937.53,237.29,8.17,,,0.1,3.54,2174.82,0.0016,10.75,21.93,0.49,11155,-35.49,0.33,-0.16,,,0.07,0.78,-35.15,0.0003,0.51,-0.05,0.02,314
BAC,7/1/15,54,NYK,7/15/15,fraud,-2,2,-4,6,banking,9/30/15,1897.1,255.91,7.41,,,0.38,15.12,2153.01,0.0071,14.01,24.54,0.57,11197,-0.28,4.25,-0.13,,,-0.05,4.65,3.98,0.0022,-1.25,0.51,-0.07,-41
BAC,1/1/18,51,NYK,2/27/18,fraud,-2,2,-4,6,banking,3/31/18,2062.25,266.22,7.75,,,0.62,18.27,2328.48,0.008,28,26.16,1.07,10473,48.16,-0.93,0.21,,,0.41,1.65,47.25,0.0007,0.54,0.19,0.01,-305
BAC,1/1/18,58,NYK,2/20/18,fraud,-2,2,-4,6,banking,3/31/18,2062.25,266.22,7.75,,,0.62,18.27,2328.48,0.008,28,26.16,1.07,10473,48.16,-0.93,0.21,,,0.41,1.65,47.25,0.0007,0.54,0.19,0.01,-305
BAC,10/1/18,57,NYK,12/7/18,fraud,-2,2,-4,6,banking,12/31/18,2089.18,265.33,7.87,,,0.7,26.7,2354.51,0.0115,23.35,27.44,0.85,10237,12.5,3.17,-0.05,,,0.04,4.96,15.68,0.0021,-4.41,0.85,-0.19,66
BAC,10/1/20,50,NYK,10/7/20,fraud,-2,2,-4,6,banking,12/31/20,2546.7,272.92,9.33,,,0.59,16.47,2819.63,0.006,30.16,31.55,0.96,8797,77.1,4.07,0.14,,,0.08,-1.54,81.18,-0.0008,6.34,0.51,0.19,19
BHF,1/1/17,67,NYK,2/1/17,fraud,-2,2,-4,6,insurance,,,,,,,,,,,,,,,,,,,,,,,,,,,
BHF,1/1/21,64,NYK,3/22/21,fraud,-2,2,-4,6,insurance,,,,,,,,,,,,,,,,,,,,,,,,,,,
BHF,4/1/21,60,NYK,4/13/21,fraud,-2,2,-4,6,insurance,,,,,,,,,,,,,,,,,,,,,,,,,,,
BHF,4/1/21,65,NYK,4/9/21,fraud,-2,2,-4,6,insurance,,,,,,,,,,,,,,,,,,,,,,,,,,,
BK,1/1/13,75,NYK,1/31/13,fraud,-2,2,-4,6,banking,3/31/13,319.45,36.5,8.75,,,-0.23,1.51,355.94,0.0044,23.63,31.44,0.75,1159,-2.28,-0.76,0.12,,,-0.76,-0.89,-3.05,-0.0028,2.04,-0.59,0.08,-5
BK,7/1/15,74,NYK,7/15/15,fraud,-2,2,-4,6,banking,9/30/15,338.42,38.95,8.69,,,0.74,2.59,377.37,0.0067,34.6,35.64,0.97,1106,-17.65,-0.23,-0.4,,,0.01,-0.24,-17.88,-0.0005,-2.35,0.23,-0.07,-16
BK,1/1/18,71,NYK,2/27/18,fraud,-2,2,-4,6,banking,3/31/18,331.66,41.94,7.91,,,1.1,4.14,373.6,0.0114,47.57,41.5,1.15,1022,1.47,0.37,-0.03,,,0.02,0.26,1.84,0.0005,-1.95,0.48,-0.06,-8
BK,1/1/18,78,NYK,2/20/18,fraud,-2,2,-4,6,banking,3/31/18,331.66,41.94,7.91,,,1.1,4.14,373.6,0.0114,47.57,41.5,1.15,1022,1.47,0.37,-0.03,,,0.02,0.26,1.84,0.0005,-1.95,0.48,-0.06,-8
BK,10/1/18,77,NYK,12/7/18,fraud,-2,2,-4,6,banking,12/31/18,322.13,40.74,7.91,,,0.84,4.07,362.87,0.0113,44.14,42.42,1.04,989,14.01,-0.91,0.51,,,-0.22,-0.29,13.1,-0.0007,-3.39,0.3,-0.09,-15
BK,10/1/20,70,NYK,10/7/20,fraud,-2,2,-4,6,banking,,,,,,,,,,,,,,,,,,,,,,,,,,,
BLK,7/1/11,81,NYK,7/28/11,fraud,-2,2,-4,6,asset management,9/30/11,149.34,24.94,5.99,873,777,3.23,2.43,174.28,0.0136,115.47,179.39,0.64,182,-11.04,0.27,-0.51,-87,-89,0.02,0.04,-10.77,0.0003,-32.93,-3.28,-0.17,-9
BLK,1/1/21,82,NYK,1/11/21,fraud,-2,2,-4,6,asset management,,,,,,,,,,,,,,,,,,,,,,,,,,,
BRK-A,4/1/19,90,NYK,5/8/19,fraud,-2,2,-4,6,insurance,,,,,,,,,,,,,,,,,,,,,,,,,,,
CG,1/1/12,108,NYK,1/18/12,fraud,-2,2,-4,6,asset management,,,,,,,,,,,,,,,,,,,,,,,,,,,
CG,7/1/19,100,NYK,8/28/19,fraud,-2,2,-4,6,asset management,9/30/19,10.63,3.3,3.23,334,317,0.55,0.34,13.93,0.0257,24.22,28.1,0.86,125,0.85,-0.32,0.53,-260,-263,-0.68,0.06,0.53,0.0041,3.2,-4.59,0.22,4
CINF,10/1/11,112,NYK,11/10/11,fraud,-2,2,-4,6,insurance,12/31/11,10.6,5.03,2.11,204,200,0.82,0.16,15.64,0.0106,22.48,31.07,0.72,163,-0.03,0.24,-0.11,165,176,0.7,0.01,0.23,0.0006,3.31,1.53,0.07,0
CME,10/1/13,121,NYK,11/18/13,fraud,-2,2,-4,6,asset management,12/31/13,33.12,21.16,1.57,383,323,0.57,0.98,54.28,0.0203,59.15,63.38,0.93,334,6.12,-0.82,0.34,-78,-78,-0.14,0.03,5.3,-0.0012,5.5,-2.53,0.12,-1
CME,10/1/15,123,NYK,10/12/15,fraud,-2,2,-4,6,asset management,12/31/15,46.81,20.55,2.28,526,470,0.87,1.25,67.36,0.0167,75.36,61,1.24,338,-12.76,-0.83,-0.51,-48,-46,-0.19,-0.01,-13.59,1.00E-04,0.98,-2.48,0.07,0
CME,1/1/17,122,NYK,2/1/17,fraud,-2,2,-4,6,asset management,3/31/17,54.92,20.55,2.67,654,601,1.18,1.57,75.48,0.0227,104.51,60.72,1.72,340,5.89,0.21,0.26,58,63,0.08,0.04,6.11,-1.00E-04,3.58,0.58,0.04,1
CNO,1/1/17,136,NYK,2/1/17,fraud,-2,2,-4,6,insurance,3/31/17,27.82,4.61,6.04,198,128,0.36,0.38,32.43,0.0116,18.62,26.77,0.7,175,0.33,0.12,-0.09,-164,-159,-0.96,0.02,0.45,0.0004,1.29,0.95,0.03,-3
CNO,4/1/21,132,NYK,4/14/21,fraud,-2,2,-4,6,insurance,,,,,,,,,,,,,,,,,,,,,,,,,,,
CNO,4/1/21,134,NYK,4/14/21,fraud,-2,2,-4,6,insurance,,,,,,,,,,,,,,,,,,,,,,,,,,,
CNO,4/1/21,138,NYK,4/13/21,fraud,-2,2,-4,6,insurance,,,,,,,,,,,,,,,,,,,,,,,,,,,
DFS,4/1/21,144,NYK,4/15/21,fraud,-2,2,-4,6,banking,,,,,,,,,,,,,,,,,,,,,,,,,,,
FAF,10/1/18,150,NYK,11/15/18,fraud,-2,2,-4,6,insurance,12/31/18,6.89,3.75,1.84,188,148,0.81,0.47,10.63,0.0457,41.55,33.59,1.24,113,-0.81,0.07,-0.26,-76,-77,-0.53,-0.13,-0.75,-0.0139,-6.03,0.71,-0.21,0
FAF,1/1/21,152,NYK,2/20/21,fraud,-2,2,-4,6,insurance,,,,,,,,,,,,,,,,,,,,,,,,,,,
FAF,1/1/21,157,NYK,3/22/21,fraud,-2,2,-4,6,insurance,,,,,,,,,,,,,,,,,,,,,,,,,,,
FAF,4/1/21,154,NYK,4/14/21,fraud,-2,2,-4,6,insurance,,,,,,,,,,,,,,,,,,,,,,,,,,,
FCNCA,10/1/18,160,NYK,11/15/18,fraud,-2,2,-4,6,banking,12/31/18,31.92,3.49,9.15,,,7.61,0.4,35.41,0.0114,374.03,300.05,1.25,12,0.46,-0.01,0.16,,,-2.19,0.04,0.45,0.0009,-74.16,5.64,-0.27,0
FCNCA,1/1/21,162,NYK,2/20/21,fraud,-2,2,-4,6,banking,,,,,,,,,,,,,,,,,,,,,,,,,,,
FCNCA,1/1/21,167,NYK,3/22/21,fraud,-2,2,-4,6,banking,,,,,,,,,,,,,,,,,,,,,,,,,,,
FCNCA,4/1/21,164,NYK,4/14/21,fraud,-2,2,-4,6,banking,,,,,,,,,,,,,,,,,,,,,,,,,,,
FITB,1/1/21,170,NYK,2/20/21,fraud,-2,2,-4,6,banking,,,,,,,,,,,,,,,,,,,,,,,,,,,
FITB,4/1/21,171,NYK,4/12/21,fraud,-2,2,-4,6,banking,,,,,,,,,,,,,,,,,,,,,,,,,,,
FITB,4/1/21,173,NYK,4/14/21,fraud,-2,2,-4,6,banking,,,,,,,,,,,,,,,,,,,,,,,,,,,
FITB,4/1/21,174,NYK,4/13/21,fraud,-2,2,-4,6,banking,,,,,,,,,,,,,,,,,,,,,,,,,,,
FMBI,10/1/18,180,NYK,11/15/18,fraud,-2,2,-4,6,banking,12/31/18,13.45,2.06,6.55,,,0.38,0.16,15.51,0.0105,18.37,19.32,0.95,103,0.41,0.14,-0.25,,,-0.14,0.04,0.55,0.0025,-6.14,0.71,-0.37,1
FMBI,1/1/21,182,NYK,2/20/21,fraud,-2,2,-4,6,banking,,,,,,,,,,,,,,,,,,,,,,,,,,,
FMBI,1/1/21,187,NYK,3/22/21,fraud,-2,2,-4,6,banking,,,,,,,,,,,,,,,,,,,,,,,,,,,
FMBI,4/1/21,184,NYK,4/14/21,fraud,-2,2,-4,6,banking,,,,,,,,,,,,,,,,,,,,,,,,,,,
FNF,4/1/18,208,NYK,4/11/18,fraud,-2,2,-4,6,insurance,6/30/18,4.63,4.63,1,331,286,0.9,0.75,9.25,0.0792,34.13,16.85,2.03,278,0.09,0.15,-0.01,146,148,0.55,-0.05,0.23,0.0049,-1.9,0.54,-0.18,-2
FNF,4/1/21,201,NYK,4/13/21,fraud,-2,2,-4,6,insurance,,,,,,,,,,,,,,,,,,,,,,,,,,,
FNF,4/1/21,203,NYK,4/14/21,fraud,-2,2,-4,6,insurance,,,,,,,,,,,,,,,,,,,,,,,,,,,
FNF,4/1/21,204,NYK,4/14/21,fraud,-2,2,-4,6,insurance,,,,,,,,,,,,,,,,,,,,,,,,,,,
GL,1/1/17,210,NYK,2/1/17,fraud,-2,2,-4,6,insurance,3/31/17,17.34,4.75,3.66,212,212,1.11,0.56,22.09,0.0256,74.59,40.46,1.84,120,0.47,0.18,-0.03,16,16,0.01,0.01,0.65,0,3.45,1.77,0,-2
GL,7/1/20,211,NYK,7/24/20,fraud,-2,2,-4,6,insurance,9/30/20,19.82,8.23,2.41,253,253,1.76,0.72,28.04,0.0268,79.4,78.29,1.01,107,0.13,0.38,-0.1,18,18,0.14,-0.01,0.51,-0.001,5.82,4.56,0.01,0
GL,1/1/21,216,NYK,3/22/21,fraud,-2,2,-4,6,insurance,,,,,,,,,,,,,,,,,,,,,,,,,,,
GL,4/1/21,213,NYK,4/14/21,fraud,-2,2,-4,6,insurance,,,,,,,,,,,,,,,,,,,,,,,,,,,
GL,4/1/21,214,NYK,4/14/21,fraud,-2,2,-4,6,insurance,,,,,,,,,,,,,,,,,,,,,,,,,,,
GL,4/1/21,215,NYK,4/13/21,fraud,-2,2,-4,6,insurance,,,,,,,,,,,,,,,,,,,,,,,,,,,
HMN,4/1/13,221,NYK,4/23/13,fraud,-2,2,-4,6,insurance,6/30/13,7.25,1.11,6.55,41,41,0.63,0.12,8.36,0.0141,19.47,27.72,0.7,41,0.05,-0.15,0.85,-1,-1,-0.03,0.02,-0.1,0.0013,2.95,-4.09,0.18,0
HMN,4/1/13,222,NYK,5/30/13,fraud,-2,2,-4,6,insurance,6/30/13,7.25,1.11,6.55,41,41,0.63,0.12,8.36,0.0141,19.47,27.72,0.7,41,0.05,-0.15,0.85,-1,-1,-0.03,0.02,-0.1,0.0013,2.95,-4.09,0.18,0
HMN,4/1/21,223,NYK,4/14/21,fraud,-2,2,-4,6,insurance,,,,,,,,,,,,,,,,,,,,,,,,,,,
HMN,4/1/21,224,NYK,4/13/21,fraud,-2,2,-4,6,insurance,,,,,,,,,,,,,,,,,,,,,,,,,,,
HMN,4/1/21,226,NYK,4/9/21,fraud,-2,2,-4,6,insurance,,,,,,,,,,,,,,,,,,,,,,,,,,,
HWC,10/1/20,236,NYK,10/7/20,fraud,-2,2,-4,6,banking,12/31/20,30.2,3.44,8.78,,,1.2,-0.05,33.64,-0.0014,33.8,39.65,0.85,87,0.38,0.06,-0.05,,,0.3,0,0.45,0.0003,15.28,0.58,0.38,1
HWC,4/1/21,230,NYK,4/14/21,fraud,-2,2,-4,6,banking,,,,,,,,,,,,,,,,,,,,,,,,,,,
HWC,4/1/21,232,NYK,4/14/21,fraud,-2,2,-4,6,banking,,,,,,,,,,,,,,,,,,,,,,,,,,,
HWC,4/1/21,233,NYK,4/13/21,fraud,-2,2,-4,6,banking,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISBC,10/1/11,242,NYK,11/18/11,fraud,-2,2,-4,6,banking,12/31/11,9.73,0.97,10.06,,,0.08,0.08,10.7,0.0077,4.26,3.42,1.25,276,0.17,0.02,0.01,,,0,0,0.19,0.0002,0.27,0.07,0.06,1
ISBC,1/1/12,244,NYK,2/13/12,fraud,-2,2,-4,6,banking,3/31/12,10.27,1,10.3,,,0.07,0.08,11.26,0.0075,4.75,3.49,1.36,274,0.54,0.03,0.24,,,-0.01,0,0.56,-0.0002,0.49,0.07,0.11,-2
ISBC,1/1/17,241,NYK,1/3/17,fraud,-2,2,-4,6,banking,3/31/17,20.73,3.16,6.56,,,0.16,0.19,23.89,0.0085,12.41,10.18,1.22,293,0.68,0.04,0.14,,,-0.02,0,0.71,-0.0002,0.44,0.09,0.03,-8
ISBC,4/1/18,243,NYK,6/8/18,fraud,-2,2,-4,6,banking,6/30/18,22.27,3.09,7.21,,,0.2,0.16,25.37,0.0062,11.4,10.34,1.1,286,0.14,0,0.05,,,0,0.02,0.14,0.0006,-0.68,0.09,-0.08,-3
ISBC,4/1/20,240,NYK,6/3/20,fraud,-2,2,-4,6,banking,6/30/20,24.57,2.62,9.37,,,0.18,0.18,27.19,0.0069,8.18,10.5,0.78,236,0.49,0.02,0.09,,,0.01,-0.01,0.51,-0.0001,0.59,0.01,0.06,2
ISBC,4/1/21,245,NYK,4/13/21,fraud,-2,2,-4,6,banking,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISBC,4/1/21,247,NYK,4/14/21,fraud,-2,2,-4,6,banking,,,,,,,,,,,,,,,,,,,,,,,,,,,
IVZ,10/1/11,251,NYK,11/18/11,fraud,-2,2,-4,6,asset management,12/31/11,10.21,9.14,1.12,218,196,0.44,0.73,19.35,0.036,14.26,20.49,0.7,465,-0.56,0.17,-0.08,-45,-32,0.08,0.03,-0.39,0.0018,3.32,0.61,0.15,4
IVZ,4/1/15,255,NYK,5/18/15,fraud,-2,2,-4,6,asset management,6/30/15,13.81,9.09,1.52,387,364,0.6,1.01,22.9,0.0473,29.2,21.19,1.38,421,0.72,0.22,0.04,26,26,0,-0.02,0.94,-0.0025,-1.51,0.59,-0.11,0
IVZ,7/1/15,258,NYK,8/3/15,fraud,-2,2,-4,6,asset management,9/30/15,16.11,8.86,1.82,375,353,0.58,1,24.96,0.0444,24.5,20.89,1.17,418,2.3,-0.23,0.3,-12,-11,-0.02,-0.01,2.06,-0.0029,-4.7,-0.3,-0.21,-3
IVZ,1/1/17,253,NYK,1/3/17,fraud,-2,2,-4,6,asset management,3/31/17,18.77,7.83,2.4,284,258,0.52,0.88,26.6,0.0352,25.39,19.26,1.32,396,0.65,0.22,0.02,-12,-12,-0.04,0.05,0.87,0.0006,0.45,0.41,0,-7
IVZ,4/1/18,252,NYK,6/8/18,fraud,-2,2,-4,6,asset management,6/30/18,23.32,9.14,2.55,364,331,0.59,1.19,32.46,0.0377,23.04,22.24,1.04,414,0.89,-0.05,0.11,9,10,-0.03,0.01,0.84,-0.0009,-4.43,-0.13,-0.19,2
JEF,1/1/13,265,NYK,3/13/13,fraud,-2,2,-4,6,banking,3/31/13,36.95,10.4,3.55,276,344,1.08,0.67,47.35,0.0361,22.39,28.57,0.78,282,34.37,3.63,3.17,-934,-790,-0.77,-0.19,38,-0.0598,3.53,0.9,0.1,33
JEF,1/1/14,266,NYK,2/18/14,fraud,-2,2,-4,6,banking,3/31/14,40.94,10.19,4.02,148,215,0.25,0.16,51.13,0.0033,23.07,28,0.82,377,3.25,0.02,0.31,-51,85,0.42,-0.21,3.26,-0.0046,-0.22,0.09,-0.01,29
JEF,1/1/14,269,NYK,2/26/14,fraud,-2,2,-4,6,banking,3/31/14,40.94,10.19,4.02,148,215,0.25,0.16,51.13,0.0033,23.07,28,0.82,377,3.25,0.02,0.31,-51,85,0.42,-0.21,3.26,-0.0046,-0.22,0.09,-0.01,29
JEF,7/1/14,260,NYK,7/23/14,fraud,-2,2,-4,6,banking,9/30/14,42.28,10.45,4.05,271,175,0.14,0.22,52.73,0.0044,19.74,28.36,0.7,373,1.24,0.09,0.09,75,9,-0.03,0.05,1.32,0.0009,-1.91,0.24,-0.07,0
JPM,7/1/14,277,NYK,7/7/14,fraud,-2,2,-4,6,banking,9/30/14,2295.73,231.28,9.93,,,1.35,20.56,2527.01,0.0083,49.96,61.87,0.81,3789,2.71,3.97,-0.16,,,-0.11,5.77,6.67,0.0023,2.5,1.43,0.02,-24
JPM,7/1/15,270,NYK,7/21/15,fraud,-2,2,-4,6,banking,9/30/15,2171.39,245.73,8.84,,,1.68,21.99,2417.12,0.0088,51.91,66.75,0.78,3726,-37,4.52,-0.32,,,0.14,1.15,-32.48,0.0006,-5.41,1.53,-0.1,-18
JPM,1/1/20,271,NYK,2/5/20,fraud,-2,2,-4,6,banking,3/31/20,2878.17,261.26,11.02,,,0.78,28.32,3139.43,0.01,86.3,85.74,1.01,3101,452.12,-0.07,1.74,,,-1.79,-6.32,452.05,-0.0027,-46.46,1,-0.56,-129
JPM,4/1/21,276,NYK,4/13/21,fraud,-2,2,-4,6,banking,,,,,,,,,,,,,,,,,,,,,,,,,,,
MMC,1/1/17,289,NYK,2/1/17,fraud,-2,2,-4,6,asset management,3/31/17,12.35,6.62,1.87,869,749,1.09,1.86,18.97,0.1009,69.1,12.85,5.38,522,0.43,0.35,-0.03,361,349,0.25,0.09,0.78,0.0037,6.21,0.65,0.23,-2
MMC,1/1/21,285,NYK,3/22/21,fraud,-2,2,-4,6,insurance,,,,,,,,,,,,,,,,,,,,,,,,,,,
MMC,4/1/21,281,NYK,4/13/21,fraud,-2,2,-4,6,insurance,,,,,,,,,,,,,,,,,,,,,,,,,,,
NDAQ,10/1/18,290,NYK,11/1/18,fraud,-2,2,-4,6,asset management,12/31/18,10.25,5.45,1.88,291,240,-0.26,0.46,15.7,0.0298,78.36,32.99,2.38,168,1,-0.15,0.23,-8,-6,-1.23,-0.29,0.84,-0.0191,-3.64,-1.18,-0.02,1
NDAQ,7/1/19,294,NYK,9/27/19,fraud,-2,2,-4,6,asset management,9/30/19,7.65,5.33,1.44,273,226,0.9,0.53,12.98,0.0368,96.86,32.5,2.98,167,-0.93,-0.22,-0.11,-31,-30,-0.14,-0.01,-1.15,0.0003,3.54,-1.06,0.2,0
NDAQ,1/1/21,299,NYK,3/22/21,fraud,-2,2,-4,6,asset management,,,,,,,,,,,,,,,,,,,,,,,,,,,
PGR,1/1/21,300,NYK,3/22/21,fraud,-2,2,-4,6,insurance,,,,,,,,,,,,,,,,,,,,,,,,,,,
PGR,4/1/21,307,NYK,4/13/21,fraud,-2,2,-4,6,insurance,,,,,,,,,,,,,,,,,,,,,,,,,,,
PGR,4/1/21,308,NYK,4/9/21,fraud,-2,2,-4,6,insurance,,,,,,,,,,,,,,,,,,,,,,,,,,,
PNC,1/1/21,318,NYK,3/22/21,fraud,-2,2,-4,6,banking,,,,,,,,,,,,,,,,,,,,,,,,,,,
PNC,4/1/21,313,NYK,4/13/21,fraud,-2,2,-4,6,banking,,,,,,,,,,,,,,,,,,,,,,,,,,,
PNC,4/1/21,315,NYK,4/12/21,fraud,-2,2,-4,6,banking,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRI,4/1/21,324,NYK,4/12/21,fraud,-2,2,-4,6,insurance,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRI,4/1/21,327,NYK,4/14/21,fraud,-2,2,-4,6,insurance,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRI,4/1/21,328,NYK,4/13/21,fraud,-2,2,-4,6,insurance,,,,,,,,,,,,,,,,,,,,,,,,,,,
PSEC,1/1/18,334,NYK,2/27/18,fraud,-2,2,-4,6,asset management,3/31/18,2.51,3.35,0.75,106,108,0.14,0.24,5.85,0.0396,4.69,9.23,0.51,362,-0.06,0,-0.02,-21,-5,-0.2,0.04,-0.07,0.0059,-0.01,-0.05,0,2
PSEC,10/1/20,330,NYK,10/7/20,fraud,-2,2,-4,6,asset management,12/31/20,2.24,3.46,0.65,112,115,0.8,0.45,5.7,0.0833,5.27,9,0.59,382,-0.02,0.28,-0.06,33,23,0.35,0.32,0.26,0.0582,0.53,0.6,0.03,6
PSEC,1/1/21,339,NYK,3/4/21,fraud,-2,2,-4,6,asset management,,,,,,,,,,,,,,,,,,,,,,,,,,,
PSEC,4/1/21,333,NYK,4/14/21,fraud,-2,2,-4,6,asset management,,,,,,,,,,,,,,,,,,,,,,,,,,,
PSEC,4/1/21,335,NYK,4/13/21,fraud,-2,2,-4,6,asset management,,,,,,,,,,,,,,,,,,,,,,,,,,,
PSEC,4/1/21,336,NYK,4/13/21,fraud,-2,2,-4,6,asset management,,,,,,,,,,,,,,,,,,,,,,,,,,,
RGA,1/1/14,347,NYK,1/16/14,fraud,-2,2,-4,6,insurance,3/31/14,34.29,6.25,5.49,212,237,1.92,0.37,40.54,0.0093,70.9,89.92,0.79,71,0.55,0.31,-0.19,-30,-30,-0.13,-0.05,0.87,-0.0013,2.25,6.05,-0.03,-1
RGA,10/1/19,340,NYK,10/24/19,fraud,-2,2,-4,6,insurance,12/31/19,65.13,11.6,5.61,363,358,3.67,0.87,76.73,0.0119,157.97,185.15,0.85,64,0.88,0.08,0.03,-38,-42,-0.45,0.12,0.96,0.0012,3.72,1.09,0.01,0
RJF,4/1/21,350,NYK,4/14/21,fraud,-2,2,-4,6,asset management,,,,,,,,,,,,,,,,,,,,,,,,,,,
RJF,4/1/21,353,NYK,4/13/21,fraud,-2,2,-4,6,asset management,,,,,,,,,,,,,,,,,,,,,,,,,,,
RJF,4/1/21,354,NYK,4/12/21,fraud,-2,2,-4,6,asset management,,,,,,,,,,,,,,,,,,,,,,,,,,,
RJF,4/1/21,355,NYK,4/14/21,fraud,-2,2,-4,6,asset management,,,,,,,,,,,,,,,,,,,,,,,,,,,
RLI,4/1/21,360,NYK,4/14/21,fraud,-2,2,-4,6,insurance,,,,,,,,,,,,,,,,,,,,,,,,,,,
RLI,4/1/21,363,NYK,4/12/21,fraud,-2,2,-4,6,insurance,,,,,,,,,,,,,,,,,,,,,,,,,,,
RLI,4/1/21,364,NYK,4/13/21,fraud,-2,2,-4,6,insurance,,,,,,,,,,,,,,,,,,,,,,,,,,,
SCHW,4/1/13,371,NYK,5/1/13,fraud,-2,2,-4,6,asset management,6/30/13,126.19,9.72,12.98,585,486,0.18,0.86,135.91,0.0066,19.49,7.57,2.57,1288,2.64,-0.06,0.34,91,87,0.03,-0.03,2.59,-0.0005,3.31,-0.07,0.45,6
SF,7/1/11,380,NYK,8/10/11,fraud,-2,2,-4,6,banking,9/30/11,3.68,1.26,2.92,64,39,0.23,0.1,4.94,0.0213,17.04,16.35,1.04,95,0.46,-0.04,0.44,36,35,0.2,0.11,0.43,0.0234,-5.97,-0.01,-0.37,0
SIGI,1/1/21,398,NYK,3/22/21,fraud,-2,2,-4,6,insurance,,,,,,,,,,,,,,,,,,,,,,,,,,,
SIGI,4/1/21,393,NYK,4/13/21,fraud,-2,2,-4,6,insurance,,,,,,,,,,,,,,,,,,,,,,,,,,,
SIGI,4/1/21,396,NYK,4/13/21,fraud,-2,2,-4,6,insurance,,,,,,,,,,,,,,,,,,,,,,,,,,,
SIVB,10/1/19,403,NYK,12/1/19,fraud,-2,2,-4,6,banking,12/31/19,64.38,6.62,9.72,,,5.06,1.14,71.01,0.0173,251.04,128.18,1.96,52,2.2,0.57,-0.56,,,-0.09,0,2.78,-0.001,42.09,10.86,0.18,0
